name
Q96I99	SUCB2 sp|Q96I99|SUCB2_HUMAN
Q9Y5R8	TPPC1 sp|Q9Y5R8|TPPC1_HUMAN
P25789	PSA4 sp|P25789|PSA4_HUMAN
Q92747	ARC1A sp|Q92747|ARC1A_HUMAN/sp|O15143|ARC1B_HUMAN
P20248	CCNA2 sp|P20248|CCNA2_HUMAN
Q96RP9	EFGM sp|Q96RP9|EFGM_HUMAN
Q9BPY3	F118B sp|Q9BPY3|F118B_HUMAN
Q9ULW0	TPX2 sp|Q9ULW0|TPX2_HUMAN
Q16222	UAP1 sp|Q16222|UAP1_HUMAN
P61158	ARP3 sp|P61158|ARP3_HUMAN
O15371	EIF3D sp|O15371|EIF3D_HUMAN
P21953	ODBB sp|P21953|ODBB_HUMAN
O94776	MTA2 sp|O94776|MTA2_HUMAN
Q9NX20	RM16 sp|Q9NX20|RM16_HUMAN
Q9NX24	NHP2 sp|Q9NX24|NHP2_HUMAN
P62195	PRS8 sp|P62195|PRS8_HUMAN
P11413	G6PD sp|P11413|G6PD_HUMAN
P63220	RS21 sp|P63220|RS21_HUMAN
P11142	HSP7C sp|P11142|HSP7C_HUMAN
Q86SX6	GLRX5 sp|Q86SX6|GLRX5_HUMAN
P51580	TPMT sp|P51580|TPMT_HUMAN
Q96EK9	KTI12 sp|Q96EK9|KTI12_HUMAN
Q53H12	AGK sp|Q53H12|AGK_HUMAN
O14776	TCRG1 sp|O14776|TCRG1_HUMAN
Q13569	TDG sp|Q13569|TDG_HUMAN
Q13564	ULA1 sp|Q13564|ULA1_HUMAN
Q13561	DCTN2 sp|Q13561|DCTN2_HUMAN
P62266	RS23 sp|P62266|RS23_HUMAN
P85037	FOXK1 sp|P85037|FOXK1_HUMAN
P37268	FDFT sp|P37268|FDFT_HUMAN
P62263	RS14 sp|P62263|RS14_HUMAN
Q9BWJ5	SF3B5 sp|Q9BWJ5|SF3B5_HUMAN
Q96IJ6	GMPPA sp|Q96IJ6|GMPPA_HUMAN
P56134	ATPK sp|P56134|ATPK_HUMAN
Q9Y6W5	WASF2 sp|Q9Y6W5|WASF2_HUMAN
Q9BU89	DOHH sp|Q9BU89|DOHH_HUMAN
P57678	GEMI4 sp|P57678|GEMI4_HUMAN
Q6UX07	DHR13 sp|Q6UX07|DHR13_HUMAN
Q9H0A0	NAT10 sp|Q9H0A0|NAT10_HUMAN
Q9BPZ3	PAIP2 sp|Q9BPZ3|PAIP2_HUMAN
P07195	LDHB sp|P07195|LDHB_HUMAN
Q71U36	TBA1A sp|Q71U36|TBA1A_HUMAN/sp|P68363|TBA1B_HUMAN/sp|Q6PEY2|TBA3E_HUMAN/sp|P68366|TBA4A_HUMAN/sp|Q13748|TBA3C_HUMAN
O00442	RTCA sp|O00442|RTCA_HUMAN
Q92989	CLP1 sp|Q92989|CLP1_HUMAN
O60828	PQBP1 sp|O60828|PQBP1_HUMAN
Q9Y2Q3	GSTK1 sp|Q9Y2Q3|GSTK1_HUMAN
O60825	F262 sp|O60825|F262_HUMAN
P23396	RS3 sp|P23396|RS3_HUMAN
O15294	OGT1 sp|O15294|OGT1_HUMAN
O43542	XRCC3 sp|O43542|XRCC3_HUMAN
Q9BRP1	PDD2L sp|Q9BRP1|PDD2L_HUMAN
Q96EY8	MMAB sp|Q96EY8|MMAB_HUMAN
Q96EY9	ADAT3 sp|Q96EY9|ADAT3_HUMAN
Q96EY5	MB12A sp|Q96EY5|MB12A_HUMAN
Q9NXV6	CARF sp|Q9NXV6|CARF_HUMAN
P13639	EF2 sp|P13639|EF2_HUMAN
Q6NXT6	TAPT1 sp|Q6NXT6|TAPT1_HUMAN
Q9UID3	VPS51 sp|Q9UID3|VPS51_HUMAN
Q96CW6	S7A6O sp|Q96CW6|S7A6O_HUMAN
P04183	KITH sp|P04183|KITH_HUMAN
P78417	GSTO1 sp|P78417|GSTO1_HUMAN
P04181	OAT sp|P04181|OAT_HUMAN
P15880	RS2 sp|P15880|RS2_HUMAN
P46459	NSF sp|P46459|NSF_HUMAN
Q9UM47	NOTC3 REV_sp|P08651|NFIC_HUMAN/REV_sp|Q12857|NFIA_HUMAN/sp|Q9UM47|NOTC3_HUMAN/REV_sp|O00712|NFIB_HUMAN/REV_sp|Q14938|NFIX_HUMAN/sp|P42336|PK3CA_HUMAN/sp|Q7Z2Z1|TICRR_HUMAN
P00505	AATM sp|P00505|AATM_HUMAN
Q15031	SYLM sp|Q15031|SYLM_HUMAN
Q5VT52	RPRD2 sp|Q5VT52|RPRD2_HUMAN
Q9UKV8	AGO2 sp|Q9UKV8|AGO2_HUMAN
P78527	PRKDC sp|P78527|PRKDC_HUMAN
O60888	CUTA sp|O60888|CUTA_HUMAN
P42566	EPS15 sp|P42566|EPS15_HUMAN
P62993	GRB2 sp|P62993|GRB2_HUMAN
Q96AG4	LRC59 sp|Q96AG4|LRC59_HUMAN
Q15813	TBCE sp|Q15813|TBCE_HUMAN
Q15814	TBCC sp|Q15814|TBCC_HUMAN
Q9H410	DSN1 sp|Q9H410|DSN1_HUMAN
Q9UI30	TR112 sp|Q9UI30|TR112_HUMAN
Q7L5D6	GET4 sp|Q7L5D6|GET4_HUMAN
P42695	CNDD3 sp|P42695|CNDD3_HUMAN
Q6UWP2	DHR11 sp|Q6UWP2|DHR11_HUMAN
P57081	WDR4 sp|P57081|WDR4_HUMAN
Q14493	SLBP sp|Q14493|SLBP_HUMAN
P57088	TMM33 sp|P57088|TMM33_HUMAN
P61981	1433G sp|P61981|1433G_HUMAN
O75694	NU155 sp|O75694|NU155_HUMAN
Q8WU79	SMAP2 sp|Q8WU79|SMAP2_HUMAN
Q8IU81	I2BP1 sp|Q8IU81|I2BP1_HUMAN
Q96HE7	ERO1A sp|Q96HE7|ERO1A_HUMAN
Q02543	RL18A sp|Q02543|RL18A_HUMAN
Q05639	EF1A2 sp|Q05639|EF1A2_HUMAN
P12814	ACTN1 sp|P12814|ACTN1_HUMAN
Q9H3U1	UN45A sp|Q9H3U1|UN45A_HUMAN
Q6P2E9	EDC4 sp|Q6P2E9|EDC4_HUMAN
P14635	CCNB1 sp|P14635|CCNB1_HUMAN
Q96BN8	OTUL sp|Q96BN8|OTUL_HUMAN
Q9H1Y0	ATG5 sp|Q9H1Y0|ATG5_HUMAN
O43592	XPOT sp|O43592|XPOT_HUMAN
O95563	MPC2 sp|O95563|MPC2_HUMAN
Q9NUQ8	ABCF3 sp|Q9NUQ8|ABCF3_HUMAN
Q9NUQ9	FA49B sp|Q9NUQ9|FA49B_HUMAN
Q9NUQ2	PLCE sp|Q9NUQ2|PLCE_HUMAN
Q86X55	CARM1 sp|Q86X55|CARM1_HUMAN
Q52LJ0	FA98B sp|Q52LJ0|FA98B_HUMAN
P63104	1433Z sp|P63104|1433Z_HUMAN
P49458	SRP09 sp|P49458|SRP09_HUMAN
Q13309	SKP2 sp|Q13309|SKP2_HUMAN
Q9ULX3	NOB1 sp|Q9ULX3|NOB1_HUMAN
Q9ULX6	AKP8L sp|Q9ULX6|AKP8L_HUMAN
Q9Y5S1	TRPV2 sp|Q9Y5S1|TRPV2_HUMAN
Q14671	PUM1 sp|Q14671|PUM1_HUMAN
O60216	RAD21 sp|O60216|RAD21_HUMAN
Q9ULV4	COR1C sp|Q9ULV4|COR1C_HUMAN
Q99961	SH3G1 sp|Q99961|SH3G1_HUMAN
P61160	ARP2 sp|P61160|ARP2_HUMAN
P21964	COMT sp|P21964|COMT_HUMAN
Q6P474	PDXD2 sp|Q6P474|PDXD2_HUMAN/sp|Q6P996|PDXD1_HUMAN
Q9H9P8	L2HDH sp|Q9H9P8|L2HDH_HUMAN
Q2NL82	TSR1 sp|Q2NL82|TSR1_HUMAN
Q8IU60	DCP2 sp|Q8IU60|DCP2_HUMAN
P04406	G3P sp|P04406|G3P_HUMAN
P07339	CATD sp|P07339|CATD_HUMAN
Q13418	ILK sp|Q13418|ILK_HUMAN
P11172	UMPS sp|P11172|UMPS_HUMAN
P69891	HBG1 sp|P69891|HBG1_HUMAN/sp|P69892|HBG2_HUMAN
P30154	2AAB sp|P30154|2AAB_HUMAN/sp|P30153|2AAA_HUMAN
P30153	2AAA sp|P30153|2AAA_HUMAN
Q9NXE4	NSMA3 sp|Q9NXE4|NSMA3_HUMAN
Q6NXE6	ARMC6 sp|Q6NXE6|ARMC6_HUMAN
P49411	EFTU sp|P49411|EFTU_HUMAN
Q13573	SNW1 sp|Q13573|SNW1_HUMAN
Q96II8	LRCH3 sp|Q96II8|LRCH3_HUMAN/sp|P50990|TCPQ_HUMAN
P62316	SMD2 sp|P62316|SMD2_HUMAN
Q9UJV9	DDX41 sp|Q9UJV9|DDX41_HUMAN
Q9BWM7	SFXN3 sp|Q9BWM7|SFXN3_HUMAN/sp|Q9H9B4|SFXN1_HUMAN
O00232	PSD12 sp|O00232|PSD12_HUMAN
O00233	PSMD9 sp|O00233|PSMD9_HUMAN
P05023	AT1A1 sp|P05023|AT1A1_HUMAN
P45985	MP2K4 sp|P45985|MP2K4_HUMAN
P45983	MK08 sp|P45983|MK08_HUMAN/sp|P53779|MK10_HUMAN
P50991	TCPD sp|P50991|TCPD_HUMAN
P50990	TCPQ sp|P50990|TCPQ_HUMAN
P50993	AT1A2 sp|P50993|AT1A2_HUMAN/sp|P54707|AT12A_HUMAN/sp|Q13733|AT1A4_HUMAN/sp|P05023|AT1A1_HUMAN/sp|P13637|AT1A3_HUMAN
Q9P2R7	SUCB1 sp|Q9P2R7|SUCB1_HUMAN
Q6P3X3	TTC27 sp|Q6P3X3|TTC27_HUMAN
P09105	HBAT sp|P09105|HBAT_HUMAN
O76071	CIAO1 sp|O76071|CIAO1_HUMAN
Q96I24	FUBP3 sp|Q96I24|FUBP3_HUMAN
O95373	IPO7 sp|O95373|IPO7_HUMAN
O95372	LYPA2 sp|O95372|LYPA2_HUMAN
Q9NVG8	TBC13 sp|Q9NVG8|TBC13_HUMAN
Q86XL3	ANKL2 sp|Q86XL3|ANKL2_HUMAN
Q9NXW9	ALKB4 sp|Q9NXW9|ALKB4_HUMAN
Q9BVK2	ALG8 sp|Q9BVK2|ALG8_HUMAN
P49840	GSK3A sp|P49840|GSK3A_HUMAN/sp|P49841|GSK3B_HUMAN
Q7Z4L5	TT21B sp|Q7Z4L5|TT21B_HUMAN
P58546	MTPN sp|P58546|MTPN_HUMAN
P62851	RS25 sp|P62851|RS25_HUMAN
Q86UV5	UBP48 sp|Q86UV5|UBP48_HUMAN
P18621	RL17 sp|P18621|RL17_HUMAN
Q9NVU7	SDA1 sp|Q9NVU7|SDA1_HUMAN
P62854	RS26 sp|P62854|RS26_HUMAN/sp|Q5JNZ5|RS26L_HUMAN
P62857	RS28 sp|P62857|RS28_HUMAN
P78406	RAE1L sp|P78406|RAE1L_HUMAN
P52597	HNRPF sp|P52597|HNRPF_HUMAN
Q86WV6	STING sp|Q86WV6|STING_HUMAN
P17655	CAN2 sp|P17655|CAN2_HUMAN
Q9NQC3	RTN4 sp|Q9NQC3|RTN4_HUMAN
P56589	PEX3 sp|P56589|PEX3_HUMAN
P09211	GSTP1 sp|P09211|GSTP1_HUMAN
Q92888	ARHG1 sp|Q92888|ARHG1_HUMAN
P30837	AL1B1 sp|P30837|AL1B1_HUMAN
Q9BZX2	UCK2 sp|Q9BZX2|UCK2_HUMAN
Q15024	EXOS7 sp|Q15024|EXOS7_HUMAN
O00541	PESC sp|O00541|PESC_HUMAN
Q15021	CND1 sp|Q15021|CND1_HUMAN
Q15022	SUZ12 sp|Q15022|SUZ12_HUMAN
O15173	PGRC2 sp|O15173|PGRC2_HUMAN/sp|O00264|PGRC1_HUMAN
Q9Y277	VDAC3 sp|Q9Y277|VDAC3_HUMAN
Q3SXM5	HSDL1 sp|Q3SXM5|HSDL1_HUMAN
P04083	ANXA1 sp|P04083|ANXA1_HUMAN
P04080	CYTB sp|P04080|CYTB_HUMAN
Q8TCG1	CIP2A sp|Q8TCG1|CIP2A_HUMAN
Q6P9F7	LRC8B sp|Q6P9F7|LRC8B_HUMAN
P35611	ADDA sp|P35611|ADDA_HUMAN
Q12874	SF3A3 sp|Q12874|SF3A3_HUMAN
O76095	JTB REV_sp|P39059|COFA1_HUMAN/sp|O76095|JTB_HUMAN/sp|Q92615|LAR4B_HUMAN/sp|Q71RC2|LARP4_HUMAN/sp|Q9HB89|NMUR1_HUMAN/REV_sp|Q96R27|OR2M4_HUMAN/REV_sp|Q8WUH2|TGFA1_HUMAN
P17812	PYRG1 sp|P17812|PYRG1_HUMAN
Q14318	FKBP8 sp|Q14318|FKBP8_HUMAN
Q96GG9	DCNL1 sp|Q96GG9|DCNL1_HUMAN
P08670	VIME sp|P08670|VIME_HUMAN
P32969	RL9 sp|P32969|RL9_HUMAN
Q86U38	NOP9 sp|Q86U38|NOP9_HUMAN
O14730	RIOK3 sp|O14730|RIOK3_HUMAN
P42229	STA5A sp|P42229|STA5A_HUMAN
Q92552	RT27 sp|Q92552|RT27_HUMAN
O43747	AP1G1 sp|O43747|AP1G1_HUMAN
P42224	STAT1 sp|P42224|STAT1_HUMAN
P16615	AT2A2 sp|P16615|AT2A2_HUMAN/sp|Q93084|AT2A3_HUMAN
Q92797	SYMPK sp|Q92797|SYMPK_HUMAN
P22234	PUR6 sp|P22234|PUR6_HUMAN
Q9P289	STK26 sp|Q9P289|STK26_HUMAN
Q6PJG6	BRAT1 sp|Q6PJG6|BRAT1_HUMAN
P42356	PI4KA sp|P42356|PI4KA_HUMAN
P27348	1433T sp|P27348|1433T_HUMAN
Q9H269	VPS16 sp|Q9H269|VPS16_HUMAN
Q5VTE0	EF1A3 sp|Q5VTE0|EF1A3_HUMAN
Q99497	PARK7 sp|Q99497|PARK7_HUMAN
Q9BQT8	ODC sp|Q9BQT8|ODC_HUMAN
Q5JPH6	SYEM sp|Q5JPH6|SYEM_HUMAN
P54687	BCAT1 sp|P54687|BCAT1_HUMAN
O43583	DENR sp|O43583|DENR_HUMAN
O14972	DSCR3 sp|O14972|DSCR3_HUMAN
O95573	ACSL3 sp|O95573|ACSL3_HUMAN
Q8N7R7	CCYL1 sp|Q8N7R7|CCYL1_HUMAN/sp|Q8ND76|CCNY_HUMAN
Q8WUM4	PDC6I sp|Q8WUM4|PDC6I_HUMAN
Q9BQB6	VKOR1 sp|Q9BQB6|VKOR1_HUMAN
Q8IZV5	RDH10 sp|Q8IZV5|RDH10_HUMAN
Q9BSR8	YIPF4 sp|Q9BSR8|YIPF4_HUMAN
Q13315	ATM sp|Q13315|ATM_HUMAN
Q9Y5T5	UBP16 sp|Q9Y5T5|UBP16_HUMAN
Q8IWZ3	ANKH1 sp|Q8IWZ3|ANKH1_HUMAN/sp|O75179|ANR17_HUMAN
Q9UG63	ABCF2 sp|Q9UG63|ABCF2_HUMAN
Q14684	RRP1B sp|Q14684|RRP1B_HUMAN
P11388	TOP2A sp|P11388|TOP2A_HUMAN
P06493	CDK1 sp|P06493|CDK1_HUMAN
P17252	KPCA sp|P17252|KPCA_HUMAN/sp|P05129|KPCG_HUMAN/sp|P05771|KPCB_HUMAN
Q8NB90	SPAT5 sp|Q8NB90|SPAT5_HUMAN
Q9NX40	OCAD1 sp|Q9NX40|OCAD1_HUMAN
P36888	FLT3 sp|P36888|FLT3_HUMAN/sp|P10721|KIT_HUMAN/sp|P28482|MK01_HUMAN/sp|P27361|MK03_HUMAN/sp|Q8TD08|MK15_HUMAN/sp|Q9UBE8|NLK_HUMAN/sp|P16234|PGFRA_HUMAN/sp|P09619|PGFRB_HUMAN/sp|P17948|VGFR1_HUMAN/sp|P35968|VGFR2_HUMAN/sp|P35916|VGFR3_HUMAN
P50213	IDH3A sp|P50213|IDH3A_HUMAN
P36405	ARL3 sp|P36405|ARL3_HUMAN
P63208	SKP1 sp|P63208|SKP1_HUMAN
P11166	GTR1 sp|P11166|GTR1_HUMAN
Q9UN36	NDRG2 sp|Q9UN36|NDRG2_HUMAN
Q9UN37	VPS4A sp|Q9UN37|VPS4A_HUMAN
P50851	LRBA sp|P50851|LRBA_HUMAN
Q9UBQ5	EIF3K sp|Q9UBQ5|EIF3K_HUMAN
Q8IWB7	WDFY1 sp|Q8IWB7|WDFY1_HUMAN
Q13546	RIPK1 sp|Q13546|RIPK1_HUMAN
Q13547	HDAC1 sp|Q13547|HDAC1_HUMAN
P62241	RS8 sp|P62241|RS8_HUMAN
P62244	RS15A sp|P62244|RS15A_HUMAN
Q96F86	EDC3 sp|Q96F86|EDC3_HUMAN
P62249	RS16 sp|P62249|RS16_HUMAN
Q9UJY4	GGA2 sp|Q9UJY4|GGA2_HUMAN
Q96A35	RM24 sp|Q96A35|RM24_HUMAN
Q96L21	RL10L sp|Q96L21|RL10L_HUMAN/sp|P27635|RL10_HUMAN
P12235	ADT1 sp|P12235|ADT1_HUMAN/sp|P12236|ADT3_HUMAN
Q96J01	THOC3 sp|Q96J01|THOC3_HUMAN
Q8NF37	PCAT1 sp|Q8NF37|PCAT1_HUMAN
Q9UBC3	DNM3B sp|Q9UBC3|DNM3B_HUMAN
Q96BM9	ARL8A sp|Q96BM9|ARL8A_HUMAN/sp|Q9NVJ2|ARL8B_HUMAN
Q13895	BYST sp|Q13895|BYST_HUMAN
Q6UX65	DRAM2 sp|Q6UX65|DRAM2_HUMAN
P34932	HSP74 sp|P34932|HSP74_HUMAN
P09110	THIK sp|P09110|THIK_HUMAN
Q9NUP9	LIN7C sp|Q9NUP9|LIN7C_HUMAN
Q9UL15	BAG5 sp|Q9UL15|BAG5_HUMAN
P55263	ADK sp|P55263|ADK_HUMAN
Q9BYG3	MK67I sp|Q9BYG3|MK67I_HUMAN
P11940	PABP1 sp|P11940|PABP1_HUMAN/sp|Q9H361|PABP3_HUMAN/sp|Q13310|PABP4_HUMAN/sp|Q4VXU2|PAP1L_HUMAN
P35998	PRS7 sp|P35998|PRS7_HUMAN
P55795	HNRH2 sp|P55795|HNRH2_HUMAN
Q9BV57	MTND sp|Q9BV57|MTND_HUMAN
O00151	PDLI1 sp|O00151|PDLI1_HUMAN
O14561	ACPM sp|O14561|ACPM_HUMAN
Q9NXH9	TRM1 sp|Q9NXH9|TRM1_HUMAN
P38117	ETFB sp|P38117|ETFB_HUMAN
Q9NUP1	BL1S4 sp|Q9NUP1|BL1S4_HUMAN
Q6PJT7	ZC3HE sp|Q6PJT7|ZC3HE_HUMAN
Q9UKF6	CPSF3 sp|Q9UKF6|CPSF3_HUMAN
Q15019	SEPT2 sp|Q15019|SEPT2_HUMAN
Q96S59	RANB9 sp|Q96S59|RANB9_HUMAN
Q10567	AP1B1 sp|Q10567|AP1B1_HUMAN/sp|P63010|AP2B1_HUMAN
Q15014	MO4L2 sp|Q15014|MO4L2_HUMAN
Q7L0Y3	MRRP1 sp|Q7L0Y3|MRRP1_HUMAN
Q96S55	WRIP1 sp|Q96S55|WRIP1_HUMAN
P45973	CBX5 sp|P45973|CBX5_HUMAN
Q9Y266	NUDC sp|Q9Y266|NUDC_HUMAN
Q9Y263	PLAP sp|Q9Y263|PLAP_HUMAN
Q9Y512	SAM50 sp|Q9Y512|SAM50_HUMAN
O75832	PSD10 sp|O75832|PSD10_HUMAN
O75521	ECI2 sp|O75521|ECI2_HUMAN
P08240	SRPRA sp|P08240|SRPRA_HUMAN
Q5TFE4	NT5D1 sp|Q5TFE4|NT5D1_HUMAN
P08243	ASNS sp|P08243|ASNS_HUMAN
P62136	PP1A sp|P62136|PP1A_HUMAN/sp|P36873|PP1G_HUMAN
Q2VYF4	LETM2 sp|Q2VYF4|LETM2_HUMAN/sp|O95202|LETM1_HUMAN
O95819	M4K4 sp|O95819|M4K4_HUMAN/sp|Q8N4C8|MINK1_HUMAN
Q92947	GCDH sp|Q92947|GCDH_HUMAN
Q92945	FUBP2 sp|Q92945|FUBP2_HUMAN
P0DMU8	CT455 sp|P0DMU8|CT455_HUMAN/sp|P0DMV1|CT458_HUMAN/sp|Q5DJT8|CT452_HUMAN/sp|P0DMU7|CT456_HUMAN/sp|P0DMU6|CT454_HUMAN/sp|P0DMV2|CT459_HUMAN/sp|Q8NHU0|CT453_HUMAN/sp|P0DMU9|CT45A_HUMAN/sp|Q5HYN5|CT451_HUMAN/sp|P0DMV0|CT457_HUMAN
P0DMU9	CT45A sp|P0DMU9|CT45A_HUMAN
Q9H479	FN3K sp|Q9H479|FN3K_HUMAN
Q13148	TADBP sp|Q13148|TADBP_HUMAN
Q13144	EI2BE sp|Q13144|EI2BE_HUMAN
O43772	MCAT sp|O43772|MCAT_HUMAN
Q92785	REQU sp|Q92785|REQU_HUMAN/REV_sp|O43548|TGM5_HUMAN/sp|Q96LR5|UB2E2_HUMAN/sp|Q969T4|UB2E3_HUMAN/sp|O00762|UBE2C_HUMAN/sp|P61088|UBE2N_HUMAN/sp|P51965|UB2E1_HUMAN/sp|P61086|UBE2K_HUMAN
Q9H9A5	CNO10 sp|Q9H9A5|CNO10_HUMAN
P52789	HXK2 sp|P52789|HXK2_HUMAN
P46734	MP2K3 sp|P46734|MP2K3_HUMAN/sp|P52564|MP2K6_HUMAN
Q00839	HNRPU sp|Q00839|HNRPU_HUMAN
P69905	HBA sp|P69905|HBA_HUMAN
Q9UK97	FBX9 sp|Q9UK97|FBX9_HUMAN
Q71SY5	MED25 sp|Q71SY5|MED25_HUMAN
P62888	RL30 sp|P62888|RL30_HUMAN
Q9HAV4	XPO5 sp|Q9HAV4|XPO5_HUMAN
Q58FF8	H90B2 sp|Q58FF8|H90B2_HUMAN/sp|P08238|HS90B_HUMAN
Q96SB4	SRPK1 sp|Q96SB4|SRPK1_HUMAN
P42345	MTOR sp|P42345|MTOR_HUMAN
O43175	SERA sp|O43175|SERA_HUMAN
Q8TEB9	RHBL4 sp|Q8TEB9|RHBL4_HUMAN
Q9H078	CLPB sp|Q9H078|CLPB_HUMAN
P26358	DNMT1 sp|P26358|DNMT1_HUMAN
Q9BSC4	NOL10 sp|Q9BSC4|NOL10_HUMAN
P26599	PTBP1 sp|P26599|PTBP1_HUMAN
Q9H5X1	FA96A sp|Q9H5X1|FA96A_HUMAN
O14965	AURKA sp|O14965|AURKA_HUMAN
O14966	RAB7L sp|O14966|RAB7L_HUMAN
Q9H2C2	ARV1 sp|Q9H2C2|ARV1_HUMAN
P07954	FUMH sp|P07954|FUMH_HUMAN
Q9UQ80	PA2G4 sp|Q9UQ80|PA2G4_HUMAN
Q99575	POP1 sp|Q99575|POP1_HUMAN
P23528	COF1 sp|P23528|COF1_HUMAN/sp|A4D1S5|RAB19_HUMAN/sp|P25445|TNR6_HUMAN
Q9BQA1	MEP50 sp|Q9BQA1|MEP50_HUMAN
Q9Y5U8	MPC1 sp|Q9Y5U8|MPC1_HUMAN
Q7Z7A3	CTU1 sp|Q7Z7A3|CTU1_HUMAN
Q14694	UBP10 sp|Q14694|UBP10_HUMAN
Q14690	RRP5 sp|Q14690|RRP5_HUMAN
P36507	MP2K2 sp|P36507|MP2K2_HUMAN
O14818	PSA7 sp|O14818|PSA7_HUMAN
Q9NX58	LYAR sp|Q9NX58|LYAR_HUMAN
Q15654	TRIP6 sp|Q15654|TRIP6_HUMAN
Q9NU22	MDN1 sp|Q9NU22|MDN1_HUMAN
Q9UPT9	UBP22 sp|Q9UPT9|UBP22_HUMAN/sp|A6NNY8|UBP27_HUMAN
P63279	UBC9 sp|P63279|UBC9_HUMAN
Q8IXH7	NELFD sp|Q8IXH7|NELFD_HUMAN
Q92879	CELF1 sp|Q92879|CELF1_HUMAN
Q9NXG2	THUM1 sp|Q9NXG2|THUM1_HUMAN
P10620	MGST1 sp|P10620|MGST1_HUMAN
Q9BRA2	TXD17 sp|Q9BRA2|TXD17_HUMAN
Q13555	KCC2G sp|Q13555|KCC2G_HUMAN
P22695	QCR2 sp|P22695|QCR2_HUMAN
P62258	1433E sp|P62258|1433E_HUMAN
Q9UJX4	APC5 sp|Q9UJX4|APC5_HUMAN
Q9UJX6	ANC2 sp|Q9UJX6|ANC2_HUMAN
Q9UJX3	APC7 sp|Q9UJX3|APC7_HUMAN
Q9UJX2	CDC23 sp|Q9UJX2|CDC23_HUMAN
Q15274	NADC sp|Q15274|NADC_HUMAN
Q9HB71	CYBP sp|Q9HB71|CYBP_HUMAN
O00148	DX39A sp|O00148|DX39A_HUMAN
P84085	ARF5 sp|P84085|ARF5_HUMAN
Q9P2T1	GMPR2 sp|Q9P2T1|GMPR2_HUMAN
Q5VYK3	ECM29 sp|Q5VYK3|ECM29_HUMAN
P48643	TCPE sp|P48643|TCPE_HUMAN
P13995	MTDC sp|P13995|MTDC_HUMAN
P55010	IF5 sp|P55010|IF5_HUMAN
P51553	IDH3G sp|P51553|IDH3G_HUMAN
P52209	6PGD sp|P52209|6PGD_HUMAN
Q9Y2R4	DDX52 sp|Q9Y2R4|DDX52_HUMAN
P30048	PRDX3 sp|P30048|PRDX3_HUMAN
P30041	PRDX6 sp|P30041|PRDX6_HUMAN
P30044	PRDX5 sp|P30044|PRDX5_HUMAN
Q8NBT2	SPC24 sp|Q8NBT2|SPC24_HUMAN
Q12931	TRAP1 sp|Q12931|TRAP1_HUMAN
Q9Y678	COPG1 sp|Q9Y678|COPG1_HUMAN/sp|Q9UBF2|COPG2_HUMAN
Q9Y679	AUP1 sp|Q9Y679|AUP1_HUMAN
P55786	PSA sp|P55786|PSA_HUMAN
Q9BV20	MTNA sp|Q9BV20|MTNA_HUMAN
P37837	TALDO sp|P37837|TALDO_HUMAN
Q9Y673	ALG5 sp|Q9Y673|ALG5_HUMAN
Q9NP73	ALG13 sp|Q9NP73|ALG13_HUMAN
Q9NP72	RAB18 sp|Q9NP72|RAB18_HUMAN
Q9UBB4	ATX10 sp|Q9UBB4|ATX10_HUMAN
Q9UP83	COG5 sp|Q9UP83|COG5_HUMAN
P13667	PDIA4 sp|P13667|PDIA4_HUMAN
Q9UBB9	TFP11 sp|Q9UBB9|TFP11_HUMAN
Q9Y696	CLIC4 sp|Q9Y696|CLIC4_HUMAN/sp|Q96NY7|CLIC6_HUMAN/sp|O00299|CLIC1_HUMAN/sp|Q9NZA1|CLIC5_HUMAN
P62879	GBB2 sp|P62879|GBB2_HUMAN
Q15005	SPCS2 sp|Q15005|SPCS2_HUMAN
O00567	NOP56 sp|O00567|NOP56_HUMAN
Q15003	CND2 sp|Q15003|CND2_HUMAN
Q9C0C9	UBE2O sp|Q9C0C9|UBE2O_HUMAN
O00764	PDXK sp|O00764|PDXK_HUMAN
Q8TAG9	EXOC6 sp|Q8TAG9|EXOC6_HUMAN
P43355	MAGA1 sp|P43355|MAGA1_HUMAN
Q12849	GRSF1 sp|Q12849|GRSF1_HUMAN
O15156	ZBT7B sp|O15156|ZBT7B_HUMAN
Q9BTW9	TBCD sp|Q9BTW9|TBCD_HUMAN
P18085	ARF4 sp|P18085|ARF4_HUMAN
O75533	SF3B1 sp|O75533|SF3B1_HUMAN
O75821	EIF3G sp|O75821|EIF3G_HUMAN
O75534	CSDE1 sp|O75534|CSDE1_HUMAN
Q5VV42	CDKAL sp|Q5VV42|CDKAL_HUMAN
P68104	EF1A1 sp|P68104|EF1A1_HUMAN/sp|Q05639|EF1A2_HUMAN/sp|Q5VTE0|EF1A3_HUMAN
P27635	RL10 sp|P27635|RL10_HUMAN
Q8WVB6	CTF18 sp|Q8WVB6|CTF18_HUMAN
Q08117	AES sp|Q08117|AES_HUMAN
Q8NBF2	NHLC2 sp|Q8NBF2|NHLC2_HUMAN
Q5BKZ1	ZN326 sp|Q5BKZ1|ZN326_HUMAN
O43837	IDH3B sp|O43837|IDH3B_HUMAN
O95801	TTC4 sp|O95801|TTC4_HUMAN
P33992	MCM5 sp|P33992|MCM5_HUMAN
Q13158	FADD sp|Q13158|FADD_HUMAN
O75223	GGCT sp|O75223|GGCT_HUMAN
